                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                0.70376,                0.53859,                 1.0206,                0.92644,                0.76472,                0.84761,                0.58308,                 1.0785,                0.64169,                 1.2288,             0.00025454,             0.00025454,             0.00025454
                     68,                0.70939,                0.54673,                 1.0216,                0.93124,                0.77639,                0.85275,                0.58367,                 1.0494,                0.63757,                 1.2191,             0.00024747,             0.00024747,             0.00024747
                     69,                0.69486,                0.53663,                  1.019,                0.92148,                0.78076,                0.85136,                0.57936,                 1.0795,                0.64276,                 1.2281,              0.0002404,              0.0002404,              0.0002404
                     70,                0.69844,                0.53315,                 1.0139,                0.93652,                0.76104,                 0.8442,                0.58833,                 1.0443,                0.62493,                 1.2087,             0.00023334,             0.00023334,             0.00023334
                     71,                0.69225,                0.53185,                 1.0119,                0.92817,                 0.7817,                0.85235,                0.59135,                 1.0598,                0.61424,                  1.205,             0.00022627,             0.00022627,             0.00022627
                     72,                0.69675,                 0.5271,                 1.0144,                 0.9192,                0.78185,                   0.85,                0.58912,                  1.051,                0.60545,                 1.2009,              0.0002192,              0.0002192,              0.0002192
                     73,                0.69092,                0.52828,                 1.0114,                0.92222,                 0.7697,                0.84245,                0.59339,                 1.0307,                0.59971,                 1.1847,             0.00021213,             0.00021213,             0.00021213
                     74,                0.68244,                0.51698,                 1.0082,                0.90844,                0.78263,                0.84339,                0.59341,                 1.0353,                0.60357,                 1.1928,             0.00020506,             0.00020506,             0.00020506
                     75,                0.68068,                0.51948,                  1.006,                0.90775,                0.77877,                0.84288,                0.59073,                 1.0377,                0.62741,                   1.22,             0.00019799,             0.00019799,             0.00019799
                     76,                0.67427,                0.51402,                 1.0026,                0.91993,                0.78057,                0.85499,                0.59334,                 1.0415,                0.60796,                 1.1965,             0.00019092,             0.00019092,             0.00019092
                     77,                0.67067,                 0.5062,                 1.0055,                0.92918,                0.78753,                0.84968,                0.59494,                 1.0216,                0.60465,                   1.19,             0.00018385,             0.00018385,             0.00018385
                     78,                0.67095,                0.50803,                 1.0038,                0.91851,                 0.7849,                0.84551,                0.60024,                 1.0127,                0.60776,                 1.1845,             0.00017679,             0.00017679,             0.00017679
                     79,                0.66703,                0.49886,                 1.0005,                0.91918,                0.77203,                0.84925,                0.60462,                0.99753,                0.60587,                 1.1748,             0.00016972,             0.00016972,             0.00016972
                     80,                  0.665,                0.50617,                 1.0012,                0.92169,                0.79409,                0.85331,                0.59567,                 1.0196,                0.58845,                 1.1964,             0.00016265,             0.00016265,             0.00016265
                     81,                0.65962,                 0.4968,                 0.9969,                0.91519,                0.78752,                0.85515,                0.60317,                 1.0003,                0.58461,                 1.1802,             0.00015558,             0.00015558,             0.00015558
                     82,                0.66213,                0.49783,                0.99727,                0.91556,                0.79223,                0.85013,                0.59839,                 1.0163,                0.60642,                 1.1876,             0.00014851,             0.00014851,             0.00014851
                     83,                0.65575,                0.49203,                0.99287,                0.93388,                0.77311,                 0.8515,                0.60927,                 1.0002,                0.59158,                 1.1886,             0.00014144,             0.00014144,             0.00014144
                     84,                0.64553,                0.48527,                 0.9889,                0.93712,                 0.7773,                0.85411,                0.60858,                0.99788,                0.60152,                 1.1773,             0.00013437,             0.00013437,             0.00013437
                     85,                 0.6492,                0.48722,                0.99088,                0.91782,                0.78071,                0.85365,                0.60327,                 1.0106,                0.58995,                  1.187,             0.00012731,             0.00012731,             0.00012731
                     86,                0.63589,                0.47866,                 0.9852,                0.94483,                0.76536,                0.85198,                0.60263,                 1.0025,                0.59352,                 1.1792,             0.00012024,             0.00012024,             0.00012024
                     87,                0.64198,                0.48543,                0.98999,                 0.9256,                  0.784,                0.85253,                0.61153,                 1.0004,                0.58116,                 1.1858,             0.00011317,             0.00011317,             0.00011317
                     88,                0.64213,                0.48169,                0.98917,                0.90264,                0.79204,                0.85076,                0.60434,                 1.0063,                0.57929,                 1.1863,              0.0001061,              0.0001061,              0.0001061
                     89,                0.63219,                0.47585,                0.97883,                0.91168,                0.79816,                0.85323,                0.60756,                  1.017,                0.59008,                 1.1905,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     90,                0.62598,                 0.4701,                0.98032,                0.90513,                0.79688,                0.85024,                 0.6045,                0.98829,                 0.5838,                 1.1707,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     91,                0.62809,                0.40928,                0.97108,                0.90953,                0.78101,                 0.8429,                0.60448,                0.98939,                0.57125,                 1.1731,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     92,                0.61685,                 0.3992,                0.96578,                0.93965,                0.78345,                 0.8553,                0.60573,                 1.0035,                0.56362,                  1.184,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     93,                0.60579,                0.39175,                0.96107,                0.93624,                0.78027,                0.85017,                0.61047,                 1.0014,                0.57555,                 1.1857,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     94,                0.59924,                0.38208,                0.95313,                0.93658,                0.77956,                0.85141,                 0.6078,                0.99403,                0.58532,                 1.1824,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     95,                0.59732,                0.38555,                 0.9544,                0.93529,                0.77386,                0.84909,                0.60763,                0.99415,                 0.5848,                 1.1767,              5.662e-05,              5.662e-05,              5.662e-05
                     96,                0.59121,                0.37967,                0.95158,                0.92012,                0.78167,                0.84925,                0.61202,                  0.989,                0.58055,                 1.1706,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     97,                0.58934,                0.37815,                 0.9508,                0.93978,                0.77501,                0.85556,                0.61247,                 0.9854,                0.58173,                 1.1714,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     98,                0.58264,                0.37237,                0.94811,                0.92317,                0.78824,                0.85625,                0.61219,                0.98829,                0.58893,                 1.1785,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     99,                0.58112,                0.37415,                0.94955,                0.93194,                0.77933,                0.85507,                0.61084,                0.98771,                0.58689,                 1.1737,             2.8346e-05,             2.8346e-05,             2.8346e-05
                    100,                0.57447,                0.37001,                0.94323,                0.93467,                0.78493,                0.85634,                0.61422,                0.97923,                0.58169,                 1.1758,             2.1277e-05,             2.1277e-05,             2.1277e-05
